-DOCSTART- -X- -X- O

The DT DT O
petitioner NN NN O
seeks NN NN O
for IN IN O
various JJ JJ O
reliefs NNS NNS O
including VBG VBG O
a DT DT O
direction NN NN O
to TO TO O
callfor NN NN O
the DT DT O
original JJ JJ O
of IN IN O
Ext NN NN O
. . . O
P5 NN NN O
document NN NN O
and CC CC O
to TO TO O
quash NN NN O
the DT DT O
same JJ JJ O
. . . O

2 CD CD O
. . . O

The DT DT O
challenge NN NN O
is VBZ VBZ O
against IN IN O
the DT DT O
cancellation NN NN O
deed NN NN O
said VBD VBD O
to TO TO O
have VB VB O
beenexecuted VBN VBN O
unilaterally RB RB O
, , , O
purportedly RB RB O
to TO TO O
cancel NN NN O
Ext NN NN O
. . . O
P1 NN NN O
document NN NN O
. . . O

As IN IN O
perExt NN NN O
. . . O
P1 NN NN O
document NN NN O
, , , O
the DT DT O
petitioner NN NN O
' '' '' O
s NN NN O
mother NN NN O
Eli NN NN O
settled VBN VBN O
her PRP$ PRP$ O
properties NNS NNS O
to TO TO O
herchildren NNS NNS O
and CC CC O
the DT DT O
petitioner NN NN O
obtained VBN VBN O
a DT DT O
total JJ JJ O
extent NN NN O
of IN IN O
31 CD CD O
. . . O
75 CD CD O
cents NNS NNS O
of IN IN O
landcomprised VBN VBN O
in IN IN O
Sy NN NN O
. . . O
No DT DT O
. . . O
1026 CD CD O
/ NN NN O
6 CD CD O
of IN IN O
Kothamangalam NNP NNP O
Village NN NN O
. . . O

Ext NN NN O
. . . O
P2 NN NN O
is VBZ VBZ O
thereceipt NN NN O
showing VBG VBG O
payment NN NN O
of IN IN O
land NN NN O
tax NN NN O
, , , O
dated VBN VBN O
11 CD CD O
. . . O
5 CD CD O
. . . O
2011 CD CD O
and CC CC O
Ext NN NN O
. . . O
P3 NN NN O
is VBZ VBZ O
thecopy NN NN O
of IN IN O
the DT DT O
possession NN NN O
certificate NN NN O
issued VBN VBN O
by IN IN O
the DT DT O
Village NN NN O
Officer NN NN O
showingthat NN NN O
the DT DT O
petitioner NN NN O
is VBZ VBZ O
in IN IN O
possession NN NN O
of IN IN O
the DT DT O
said VBD VBD O
property NN NN O
. . . O

3 CD CD O
. . . O

In IN IN O
connection NN NN O
with IN IN O
an DT DT O
application NN NN O
for IN IN O
availing VBG VBG O
a DT DT O
bank NN NN O
loan NN NN O
, , , O
thepetitioner NN NN O
applied VBN VBN O
for IN IN O
an DT DT O
encumbrance NN NN O
certificate NN NN O
and CC CC O
Ext NN NN O
. . . O
P4 NN NN O
is VBZ VBZ O
the DT DT O
copy NN NN O
ofthe NN NN O
said VBD VBD O
certificate NN NN O
. . . O

It PRP PRP O
contains NNS NNS O
an DT DT O
endorsement NN NN O
that IN IN O
Ext NN NN O
. . . O
P1 NN NN O
has VBZ VBZ O
beencancelled VBN VBN O
. . . O

Thereafter RB RB O
, , , O
the DT DT O
petitioner NN NN O
obtained VBN VBN O
a DT DT O
copy NN NN O
of IN IN O
the DT DT O
cancellationW NN NN O
. . . O
p NN NN O
( ( ( O
c NNS NNS O
). NN NN O

No DT DT O
. . . O
35040 CD CD O
/ NN NN O
2012 CD CD O
-: NN NN O
2 CD CD O
:- NN NN O
deed NN NN O
which WDT WDT O
is VBZ VBZ O
produced VBN VBN O
as IN IN O
Ext NN NN O
. . . O
P5 NN NN O
. . . O

The DT DT O
date NN NN O
of IN IN O
Ext NN NN O
. . . O
P5 NN NN O
is VBZ VBZ O
1 CD CD O
. . . O
4 CD CD O
. . . O
2003 CD CD O
. . . O
According VBG VBG O
to TO TO O
the DT DT O
petitioner NN NN O
, , , O
the DT DT O
mother NN NN O
was VBD VBD O
completely RB RB O
laid NN NN O
up RB RB O
at IN IN O
that IN IN O
timeand NN NN O
she PRP PRP O
finally RB RB O
expired VBD VBD O
on IN IN O
25 CD CD O
. . . O
7 CD CD O
. . . O
2003 CD CD O
and CC CC O
she PRP PRP O
was VBD VBD O
not RB RB O
in IN IN O
a DT DT O
position NN NN O
toexecute NN NN O
any DT DT O
document NN NN O
. . . O

The DT DT O
allegation NN NN O
is VBZ VBZ O
that IN IN O
this DT DT O
document NN NN O
was VBD VBD O
registeredat NN NN O
the DT DT O
instance NN NN O
of IN IN O
the DT DT O
third JJ JJ O
respondent NN NN O
. . . O

4 CD CD O
. . . O

Pursuant NN NN O
to TO TO O
the DT DT O
notice NN NN O
issued VBN VBN O
by IN IN O
this DT DT O
Court NNP NNP O
, , , O
the DT DT O
third JJ JJ O
respondenthas NN NN O
entered VBN VBN O
appearance NN NN O
. . . O

5 CD CD O
. . . O

Heard NNP NNP O
learned VBN VBN O
counsel NN NN O
for IN IN O
the DT DT O
petitioner NN NN O
, , , O
learned VBN VBN O
GovernmentPleader NN NN O
and CC CC O
learned VBN VBN O
counsel NN NN O
for IN IN O
the DT DT O
third JJ JJ O
respondent NN NN O
. . . O

