-DOCSTART- -X- -X- O

1 CD CD O
. . . O
The DT DT O
revision NN NN O
petitioner NN NN O
before IN IN O
us PRP PRP O
is VBZ VBZ O
a DT DT O
dealer NN NN O
in IN IN O
country NN NN O
drugs NNS NNS O
and CC CC O
some DT DT O
other JJ JJ O
commodities NNS NNS O
registered VBN VBN O
under IN IN O
the DT DT O
Kerala NNP NNP B-Act
General NNP NNP I-Act
Sales NNS NNS I-Act
Tax NN NN I-Act
Act NNP NNP I-Act
, , , I-Act
1963 CD CD I-Act
( ( ( O
for IN IN O
short JJ JJ O
, , , O
the DT DT O
Act NNP NNP O
). NN NN O
For IN IN O
the DT DT O
assessment NN NN O
year NN NN O
1974 CD CD O
- : : O
75 CD CD O
the DT DT O
revision NN NN O
petitioner NN NN O
' '' '' O
s NN NN O
assessment NN NN O
was VBD VBD O
completed VBN VBN O
by IN IN O
fixing VBG VBG O
the DT DT O
taxable JJ JJ O
turnover NN NN O
at IN IN O
Rs NN NN O
. . . O
18 CD CD O
, , , O
69 CD CD O
, , , O
566 CD CD O
. . . O
31 CD CD O
, , , O
which WDT WDT O
included VBD VBD O
the DT DT O
turnover NN NN O
amounting VBG VBG O
to TO TO O
Rs NN NN O
. . . O
37 CD CD O
, , , O
288 CD CD O
relating VBG VBG O
to TO TO O
sales NNS NNS O
of IN IN O
dried VBN VBN O
ginger NN NN O
, , , O
pepper NN NN O
and CC CC O
kacholam NN NN O
effected VBN VBN O
by IN IN O
the DT DT O
petitioner NN NN O
to TO TO O
the DT DT O
Arya NN NN O
Vaidya NN NN O
Sala NN NN O
, , , O
Kottakkal NNP NNP O
, , , O
and CC CC O
Kakkassery NN NN O
Oushadhasala NN NN O
, , , O
Kunnamkulum NNP NNP O
. . . O
Dried VBN VBN O
ginger NN NN O
, , , O
pepper NN NN O
and CC CC O
kacholam NN NN O
are VBP VBP O
covered VBN VBN O
by IN IN O
items NNS NNS O
Nos NN NN O
. . . O
58 CD CD O
, , , O
59 CD CD O
and CC CC O
65 CD CD O
of IN IN O
the DT DT O
First RB RB O
Schedule NN NN O
to TO TO O
the DT DT O
Act NNP NNP O
. . . O
The DT DT O
taxable JJ JJ O
point NN NN O
in IN IN O
relation NN NN O
to TO TO O
transactions NNS NNS O
in IN IN O
this DT DT O
case NN NN O
is VBZ VBZ O
the DT DT O
point NN NN O
of IN IN O
last JJ JJ O
purchase NN NN O
in IN IN O
