-DOCSTART- -X- -X- O

1 CD CD O
. . . O

The DT DT O
petitioner NN NN O
applied VBN VBN O
for IN IN O
and CC CC O
obtained VBN VBN O
a DT DT O
licence NN NN O
to TO TO O
drive NN NN O
light NN NN O
vehicles NNS NNS O
on IN IN O
3 CD CD O
- : : O
4 CD CD O
- : : O
1978 CD CD O
. . . O

Within IN IN O
three CD CD O
years NNS NNS O
thereof NN NN O
, , , O
to TO TO O
be VB VB O
precise NN NN O
on IN IN O
18 CD CD O
- : : O
4 CD CD O
- : : O
1980 CD CD O
, , , O
he PRP PRP O
submitted VBN VBN O
Ext NN NN O
. . . O
P NN NN O
- : : O
5 CD CD O
application NN NN O
to TO TO O
obtain VB VB O
a DT DT O
licence NN NN O
to TO TO O
drive NN NN O
a DT DT O
transport NN NN O
vehicle NN NN O
which WDT WDT O
admittedly RB RB O
is VBZ VBZ O
a DT DT O
heavy JJ JJ O
motor NN NN O
vehicle NN NN O
falling VBG VBG O
both DT DT O
within IN IN O
Sub NN NN O
- : : O
sections NNS NNS O
( ( ( O
9 CD CD O
) ) ) O
and CC CC O
( ( ( O
9A CD CD O
) ) ) O
of IN IN O
Section NN NN O
2 CD CD O
of IN IN O
the DT DT O
Motor NNP NNP O
Vehicles NNS NNS O
Act NNP NNP O
, , , O
1939 CD CD O
. . . O

As IN IN O
per IN IN O
Ext NN NN O
. . . O
P NN NN O
- : : O
6 CD CD O
endorsement NN NN O
the DT DT O
petitioner NN NN O
was VBD VBD O
told NN NN O
that IN IN O
since IN IN O
he PRP PRP O
has VBZ VBZ O
not RB RB O
completed VBN VBN O
three CD CD O
years NNS NNS O
after IN IN O
obtaining VBG VBG O
licence NN NN O
to TO TO O
drive NN NN O
light NN NN O
motor NN NN O
vehicles NNS NNS O
Ext NN NN O
. . . O
P NN NN O
- : : O
5 CD CD O
application NN NN O
is VBZ VBZ O
returned VBN VBN O
. . . O

The DT DT O
application NN NN O
also RB RB O
was VBD VBD O
returned VBN VBN O
to TO TO O
the DT DT O
petitioner NN NN O
. . . O

This DT DT O
was VBD VBD O
for IN IN O
the DT DT O
reason NN NN O
that IN IN O
proviso NN NN O
to TO TO O
Rule NN NN O
10 CD CD O
of IN IN O
the DT DT O
Kerala NNP NNP O
Motor NNP NNP O
Vehicles NNS NNS O
Rules NNS NNS O
, , , O
1961 CD CD O
provides VBZ VBZ O
that IN IN O
no DT DT O
